bin_lower,bin_upper,bin_center,count,avg_confidence,accuracy
0.0,0.1,0.05,0,,
0.1,0.2,0.15000000000000002,53,0.10660377358490562,0.8679245283018868
0.2,0.30000000000000004,0.25,345,0.19999999999999996,0.8608695652173913
0.30000000000000004,0.4,0.35000000000000003,103,0.30000000000000004,0.8252427184466019
0.4,0.5,0.45,16,0.4,0.8125
0.5,0.6000000000000001,0.55,0,,
0.6000000000000001,0.7000000000000001,0.6500000000000001,128,0.6066406249999998,0.6015625
0.7000000000000001,0.8,0.75,705,0.7002836879432625,0.5319148936170213
0.8,0.9,0.8500000000000001,388,0.8320876288659792,0.7242268041237113
0.9,1.0,0.95,1262,0.9395641838351823,0.881933438985737
